10.0,7.0,0,1,-8.883425686910005
-7.0,7.0,1,0,-12.35336503074553
10.0,2.0,2,1,-0.4552767899545717
10.0,-119.0,3,1,-3.559230693466563
10.0,-63.0,4,1,-2.621383359480346
10.0,-2.0,5,1,-2.24205761060507
-7.0,-143.0,6,0,-0.04086479208371316
10.0,23.0,7,1,-3.6041549355104543
-7.0,-109.0,8,0,0.0
-5.0,-130.0,9,0,-3.24615745299361
-7.0,-22.0,10,0,-10.351687210640105
-5.0,-13.0,11,0,0.0
-5.0,-70.0,12,0,-0.41843611392516894
-7.0,-144.0,13,0,-13.291580619535024
10.0,-120.0,14,1,-6.629114060938172
-7.0,-113.0,14,0,-6.629114060938172
10.0,24.0,15,1,-4.19879416483148
10.0,-71.0,16,1,-11.259006659912764
-7.0,-97.0,17,0,-32.391767680381044
10.0,-100.0,18,1,0.0
-7.0,-117.0,19,0,0.0
-7.0,-47.0,20,0,-12.347829487824308
10.0,-57.0,21,1,-3.7245571538868507
-7.0,-129.0,22,0,0.0
10.0,-105.0,23,1,-26.041840666361434
-7.0,8.0,24,0,-1.3189136790623233
10.0,-80.0,25,1,-6.6778128836333455
-7.0,20.0,26,0,-1.3039352793144874
-7.0,-125.0,27,0,-15.388224783961842
-7.0,-18.0,28,0,0.0
-7.0,-32.0,29,0,-1.9421101337663524
-7.0,-173.0,30,0,-6.963017481845632
-7.0,-47.0,31,0,0.0
10.0,-39.0,32,1,0.0
10.0,-26.0,33,1,-1.1154964383056132
10.0,-120.0,34,1,0.0
10.0,43.0,35,1,-0.5223812592010193
10.0,-16.0,36,1,-2.3479565933793585
-5.0,-128.0,37,0,-0.6231208677816711
-5.0,-127.0,38,0,0.0
10.0,-55.0,39,1,-0.18274383551075085
-5.0,-136.0,40,0,-16.433708576038153
10.0,2.0,41,1,-0.7786947981709965
10.0,23.0,42,1,-4.147827470227561
-7.0,-33.0,43,0,-21.969865206211423
10.0,-20.0,44,1,-8.075747245721555
10.0,22.0,45,1,-0.5538576277760088
-7.0,-105.0,46,0,0.0
10.0,2.0,47,1,-19.423190208535804
-7.0,-140.0,48,0,0.0
10.0,6.0,49,1,0.0
-7.0,12.0,50,0,-0.52303427983622
10.0,-2.0,51,1,-2.0325895201304576
10.0,32.0,52,1,-15.662556093683046
-5.0,-131.0,53,0,0.5801376433768619
10.0,-117.0,54,1,0.5966724381506777
-7.0,-134.0,55,0,0.0
-7.0,-112.0,56,0,0.0
-7.0,-30.0,57,0,-1.3053097949050485
-5.0,-64.0,58,0,-10.922023355461839
-7.0,-73.0,59,0,-8.262315163848879
-7.0,-120.0,60,0,-22.285399416939068
